TimeNumber,TempOutside,QuantMilk,Car,SizeBagBig,SizeBagSmall,TempRise
0.003472222,-8,1,1,1,0,0.07
0.005023148,-8,1,1,1,0,0.07
0.006516204,-8,1,1,1,0,0.07
0.006875,-8,1,1,1,0,0.26
0.007222222,-8,1,1,1,0,0.26
0.008935185,-8,1,1,1,0,0.26
0.010347222,-8,1,1,1,0,0.51
0.010428241,-8,1,1,1,0,0.52
0.01744213,-8,1,1,1,0,0.52
0.018831019,-8,1,1,1,0,0.91
0.020335648,-8,1,1,1,0,0.91
0.021840278,-8,1,1,1,0,0.91
0.022314815,-8,1,1,1,0,1.06
0.022395833,-8,1,1,1,0,1.06
0.023946759,-8,1,1,1,0,1.06
0.025462963,-8,1,1,1,0,1.06
0.025798611,-8,1,1,1,0,1.32
0.02587963,-8,1,1,1,0,1.32
0.027384259,-8,1,1,1,0,1.32
0.028865741,-8,1,1,1,0,1.32
0.029282407,-8,1,1,1,0,1.57
0.029351852,-8,1,1,1,0,1.57
0.030833333,-8,1,1,1,0,1.57
0.032326389,-8,1,1,1,0,1.57
0.032766204,-8,1,1,1,0,1.87
0.032835648,-8,1,1,1,0,1.87
0.034340278,-8,1,1,1,0,1.87
0.035821759,-8,1,1,1,0,1.87
0.03625,-8,1,1,1,0,2.16
0.036331019,-8,1,1,1,0,2.16
0.037858796,-8,1,1,1,0,2.16
0.039340278,-8,1,1,1,0,2.16
0.039733796,-8,1,1,1,0,2.45
0.039814815,-8,1,1,1,0,2.45
0.041319444,-8,1,1,1,0,2.45
0.0428125,-8,1,1,1,0,2.45
0.043217593,-8,1,1,1,0,2.72
0.043298611,-8,1,1,1,0,2.72
6.94444E-05,8,5,0,1,0,0
0.003483796,8,5,0,1,0,0.04
0.003541667,8,5,0,1,0,0.04
0.005011574,8,5,0,1,0,0.04
0.006481481,8,5,0,1,0,0.04
0.006967593,8,5,0,1,0,0.18
0.007025463,8,5,0,1,0,0.18
0.00849537,8,5,0,1,0,0.18
0.009965278,8,5,0,1,0,0.18
0.010451389,8,5,0,1,0,0.38
0.010509259,8,5,0,1,0,0.38
0.011979167,8,5,0,1,0,0.38
0.0134375,8,5,0,1,0,0.38
0.013935185,8,5,0,1,0,0.52
0.013993056,8,5,0,1,0,0.52
0.015451389,8,5,0,1,0,0.52
0.016921296,8,5,0,1,0,0.52
0.017418981,8,5,0,1,0,1.18
0.017476852,8,5,0,1,0,1.18
6.94444E-05,12,4,0,0,0,0
0.001539352,12,4,0,0,0,0
0.003043981,12,4,0,0,0,0
0.003483796,12,4,0,0,0,0.09
0.003564815,12,4,0,0,0,0.09
0.005046296,12,4,0,0,0,0.09
0.006527778,12,4,0,0,0,0.09
0.006967593,12,4,0,0,0,0.24
0.007037037,12,4,0,0,0,0.24
0.008518519,12,4,0,0,0,0.24
0.010046296,12,4,0,0,0,0.24
0.010439815,12,4,0,0,0,0.4
0.011539352,12,4,0,0,0,0.4
0.013090278,12,4,0,0,0,0.4
0.013923611,12,4,0,0,0,0.58
0.013993056,12,4,0,0,0,0.58
0.015520833,12,4,0,0,0,0.58
0.017002315,12,4,0,0,0,0.58
0.017407407,12,4,0,0,0,0.77
0.017488426,12,4,0,0,0,0.77
0.018993056,12,4,0,0,0,0.77
0.020497685,12,4,0,0,0,0.77
0.020891204,12,4,0,0,0,0.94
0.02099537,12,4,0,0,0,0.94
0.022534722,12,4,0,0,0,0.94
0.024097222,12,4,0,0,0,0.94
0.024363426,12,4,0,0,0,1.13
0.025590278,12,4,0,0,0,1.13
0.027083333,12,4,0,0,0,1.13
0.027847222,12,4,0,0,0,1.32
0.027916667,12,4,0,0,0,1.32
0.029409722,12,4,0,0,0,1.32
0.030902778,12,4,0,0,0,1.32
0.031331019,12,4,0,0,0,1.51
0.031388889,12,4,0,0,0,1.51
0.032881944,12,4,0,0,0,1.51
0.034398148,12,4,0,0,0,1.51
0.034814815,12,4,0,0,0,1.69
0.034895833,12,4,0,0,0,1.69
0.036400463,12,4,0,0,0,1.69
0.00150463,25,20,1,1,0,0
0.003020833,25,20,1,1,0,0
0.003414352,25,20,1,1,0,-0.01
0.003506944,25,20,1,1,0,-0.01
0.005046296,25,20,1,1,0,-0.01
0.006539352,25,20,1,1,0,-0.01
0.006898148,25,20,1,1,0,0.04
0.006990741,25,20,1,1,0,0.04
0.00849537,25,20,1,1,0,0.04
0.009988426,25,20,1,1,0,0.04
0.010381944,25,20,1,1,0,0.1
0.010439815,25,20,1,1,0,0.1
0.011990741,25,20,1,1,0,0.1
0.013483796,25,20,1,1,0,0.1
0.013865741,25,20,1,1,0,0.18
0.013946759,25,20,1,1,0,0.18
0.015428241,25,20,1,1,0,0.18
0.016944444,25,20,1,1,0,0.18
0.017349537,25,20,1,1,0,0.26
0.017418981,25,20,1,1,0,0.26
0.018912037,25,20,1,1,0,0.26
0.020405093,25,20,1,1,0,0.26
0.020833333,25,20,1,1,0,0.39
0.020925926,25,20,1,1,0,0.39
0.022430556,25,20,1,1,0,0.39
0.023912037,25,20,1,1,0,0.39
0.024305556,25,20,1,1,0,0.57
0.025405093,25,20,1,1,0,0.57
